seqnum,sex,province,age,DEP_TOTAL
574,หญิง,ร้อยเอ็ด,45,113649.64
575,ชาย,บุรีรัมย์,54,0
576,หญิง,บุรีรัมย์,55,224.27
577,หญิง,บุรีรัมย์,45,0
578,ชาย,บุรีรัมย์,61,39100.67
579,หญิง,บุรีรัมย์,61,3461.21
580,หญิง,บุรีรัมย์,67,14373.86
581,หญิง,บุรีรัมย์,62,18391.37
582,ชาย,บุรีรัมย์,168,604.79
583,หญิง,บุรีรัมย์,68,7553.07
584,หญิง,บุรีรัมย์,59,12217.6
585,ชาย,บุรีรัมย์,72,1020.81
586,ชาย,บุรีรัมย์,55,8026.78
587,ชาย,บุรีรัมย์,56,1601.85
