seqnum,sex,province,age,DEP_TOTAL,Cluster
857,1,1,86,0.0,0
858,0,10,68,986.18,0
859,0,10,58,3045.44,0
860,0,10,52,6615.03,0
861,0,10,65,103801.0,3
862,0,10,64,1522.14,0
863,1,10,63,41.97,0
864,0,10,48,2953.17,0
865,1,10,67,1831.92,0
866,0,10,53,1871.11,0
867,1,10,56,88.71,0
868,0,10,59,2262.12,0
869,0,10,69,2969.05,0
870,0,10,61,1826.0,0
871,0,10,54,111.9,0
872,0,10,61,25399.16,0
873,1,10,50,2305.63,0
874,1,10,53,6458.43,0
875,0,10,63,50666.51,0
876,1,10,46,12844.78,0
877,0,10,39,1869.48,0
878,0,10,56,10949.72,0
879,0,10,42,63.94,0
880,1,10,54,23013.48,0
881,1,10,55,26170.97,0
882,0,10,51,25335.69,0
883,0,10,65,128817.48,3
884,0,10,57,12322.76,0
885,1,10,46,2102.05,0
886,1,10,53,8638.17,0
887,0,10,38,52002.49,0
888,0,10,44,2629.53,0
889,0,10,53,25495.46,0
890,0,10,42,64726.4,3
891,1,10,61,111.91,0
892,0,10,66,0.83,0
893,0,10,43,3586.0,0
894,1,10,47,4817.75,0
895,1,10,42,5252.21,0
896,1,10,51,1240.81,0
897,1,1,91,15949.9,0
898,0,10,60,1003.28,0
899,0,10,52,3661.98,0
900,0,10,52,0.0,0
901,1,10,45,7.74,0
902,1,10,55,262.53,0
903,0,10,44,69.42,0
904,0,10,62,31.94,0
905,0,10,40,3860.3,0
906,0,10,52,540987.34,2
907,0,10,51,898.31,0
908,0,10,40,0.0,0
909,1,10,40,11206.18,0
910,1,10,53,23236.69,0
911,0,10,81,6365.88,0
912,0,10,77,2.43,0
913,0,10,72,3267.43,0
914,1,10,59,8930.72,0
915,0,10,52,9193.83,0
916,1,10,44,1777.93,0
917,1,10,48,3509.53,0
918,1,10,46,8852.16,0
919,0,10,48,1888.76,0
920,0,0,77,43360.85,0
921,0,10,53,7520.66,0
922,0,10,47,5185.7,0
923,0,10,36,5167.54,0
924,0,10,37,5182.85,0
925,0,10,52,3543.96,0
926,1,10,73,1611.59,0
927,0,10,55,54214.61,0
928,0,10,61,33275.59,0
929,1,10,52,5186.82,0
930,1,10,56,9568.67,0
931,1,1,81,165827.09,3
932,1,10,51,13108.39,0
933,0,10,61,3960.33,0
934,0,10,55,32120.79,0
935,0,10,45,22423.16,0
936,1,10,52,2361.39,0
937,1,10,38,2247.08,0
938,0,10,44,3606.95,0
939,0,10,55,7425.32,0
